/Cout X,/Cout Y,/Bout X,/Bout Y,/Aout X,/Aout Y
0,0.24966820891186,0,0.2497551075400689,0,0.251161734058952
0.004,0.2496682212053422,0.004,0.2497551312343621,0.004,0.2511619649008336
0.008,0.2496682221836001,0.008,0.2497551473292776,0.008,0.251162221258161
0.012,0.2496682232898587,0.012,0.2497551655301146,0.012,0.2511625111564663
0.016,0.2496682245407669,0.016,0.2497551861107315,0.016,0.2511628389569853
0.02,0.249668225955103,0.02,0.2497552093802686,0.02,0.2511632095826478
0.024,0.2496682275540817,0.024,0.2497552356876246,0.024,0.2511636285892992
0.028,0.2496682293616339,0.028,0.2497552654264818,0.028,0.2511641022458668
0.032,0.2496682314047489,0.032,0.2497552990409747,0.032,0.251164637624271
0.036,0.2496682337138794,0.036,0.2497553370320465,0.036,0.2511652427004982
0.04000000000000001,0.2496682363233609,0.04000000000000001,0.2497553799645546,0.04000000000000001,0.2511659264679456
0.04400000000000001,0.2496682392718968,0.04400000000000001,0.2497554284753003,0.04400000000000001,0.2511666990646039
0.04800000000000001,0.2496682426031021,0.04800000000000001,0.2497554832819698,0.04800000000000001,0.2511675719155909
0.05200000000000002,0.2496682463661405,0.05200000000000002,0.249755545193217,0.05200000000000002,0.2511685578928247
0.05600000000000002,0.2496682506163682,0.05600000000000002,0.2497556151198608,0.05600000000000002,0.2511696714937708
0.06000000000000003,0.2496682554161304,0.06000000000000003,0.2497556940875384,0.06000000000000003,0.2511709290413966
0.06400000000000003,0.2496682608356058,0.06400000000000003,0.2497557832507666,0.06400000000000003,0.2511723489077359
0.06800000000000003,0.2496682669537531,0.06800000000000003,0.2497558839086655,0.06800000000000003,0.251173951763506
0.07200000000000004,0.2496682738594053,0.07200000000000004,0.2497559975225417,0.07200000000000004,0.2511757608567591
0.07600000000000004,0.2496682816524325,0.07600000000000004,0.2497561257355138,0.07600000000000004,0.2511778023235074
0.08000000000000004,0.2496682904451078,0.08000000000000004,0.2497562703943432,0.08000000000000004,0.2511801055338115
0.08400000000000005,0.2496683003635349,0.08400000000000005,0.2497564335737855,0.08400000000000005,0.2511827034767913
0.08800000000000005,0.249668311549348,0.08800000000000005,0.2497566176036556,0.08800000000000005,0.2511856331887057
0.09200000000000005,0.2496683241615057,0.09200000000000005,0.2497568250989746,0.09200000000000005,0.2511889362281913
0.09600000000000006,0.2496683383783455,0.09600000000000006,0.2497570589933287,0.09600000000000006,0.2511926592033126
0.1000000000000001,0.2496683543998247,0.1000000000000001,0.2497573225759911,0.1000000000000001,0.251196854355309
0.1040000000000001,0.2496683724500297,0.1040000000000001,0.2497576195329487,0.1040000000000001,0.2512015802042128
0.1080000000000001,0.2496683927799288,0.1080000000000001,0.2497579539923601,0.1080000000000001,0.2512069022620044
0.1120000000000001,0.2496684156704358,0.1120000000000001,0.2497583305747492,0.1120000000000001,0.2512128938190043
0.1160000000000001,0.2496684414357724,0.1160000000000001,0.249758754448426,0.1160000000000001,0.2512196368097556
0.1200000000000001,0.2496684704271922,0.1200000000000001,0.2497592313905443,0.1200000000000001,0.2512272227648162
0.1240000000000001,0.2496685030370868,0.1240000000000001,0.2497597678543211,0.1240000000000001,0.2512357538550609
0.1280000000000001,0.2496685397034469,0.1280000000000001,0.2497603710428762,0.1280000000000001,0.2512453440353507
0.1320000000000001,0.2496685809148258,0.1320000000000001,0.2497610489903056,0.1320000000000001,0.2512561202946562
0.1360000000000001,0.2496686272157394,0.1360000000000001,0.2497618106504455,0.1360000000000001,0.2512682240195122
