/Aout X,/Aout Y,/Bout X,/Bout Y,/Cout X,/Cout Y,/Vin X,/Vin Y
0,0.4957364671687201,0,0.7010178116878587,0,1.41192723119548,0,0.45
0.0001,0.4957364671687197,0.0001,0.7010178116878569,0.0001,1.411927228430783,0.0001,0.45
0.0002,0.4957364671687205,0.0002,0.7010178116878593,0.0002,1.411927228430541,0.0002,0.45
0.0003,0.4957364671779963,0.0003,0.7010178117364627,0.0003,1.411927228466713,0.0003,0.45
0.0004,0.4957364671494279,0.0004,0.701017811585964,0.0004,1.411927228352971,0.0004,0.45
0.0005,0.4957364671817361,0.0005,0.701017811749855,0.0005,1.411927228479634,0.0005,0.45
0.0006000000000000001,0.4957364671511494,0.0006000000000000001,0.7010178116048734,0.0006000000000000001,1.41192722836604,0.0006000000000000001,0.45
0.0007000000000000001,0.4957364671792291,0.0007000000000000001,0.7010178117255881,0.0007000000000000001,1.411927228460196,0.0007000000000000001,0.45
0.0008000000000000001,0.4957364671476921,0.0008000000000000001,0.7010178115975962,0.0008000000000000001,1.411927228360909,0.0008000000000000001,0.45
0.0009000000000000002,0.4957364671933437,0.0009000000000000002,0.7010178118047306,0.0009000000000000002,1.411927228521066,0.0009000000000000002,0.45
0.001,0.4957364671499471,0.001,0.7010178116065897,0.001,1.411927228366026,0.001,0.45
0.0011,0.495736467186142,0.0011,0.7010178117648689,0.0011,1.411927228491867,0.0011,0.45
0.0012,0.4957364671415,0.0012,0.7010178115625152,0.0012,1.411927228333089,0.0012,0.45
0.0013,0.4957364672041308,0.0013,0.7010178118562764,0.0013,1.411927228560215,0.0013,0.45
0.0014,0.4957364671345146,0.0014,0.701017811527465,0.0014,1.411927228307267,0.0014,0.45
0.0015,0.4957364672021267,0.0015,0.7010178118409603,0.0015,1.411927228549696,0.0015,0.45
0.001600000000000001,0.495736467139745,0.001600000000000001,0.7010178115641224,0.001600000000000001,1.411927228334275,0.001600000000000001,0.45
0.001700000000000001,0.4957364672037243,0.001700000000000001,0.7010178118428393,0.001700000000000001,1.411927228550451,0.001700000000000001,0.45
0.001800000000000001,0.4957364671437128,0.001800000000000001,0.7010178115922814,0.001800000000000001,1.411927228356138,0.001800000000000001,0.45
0.001900000000000001,0.4957364672040654,0.001900000000000001,0.7010178118451834,0.001900000000000001,1.411927228550458,0.001900000000000001,0.45
0.002,0.4957364671378813,0.002,0.7010178115557347,0.002,1.411927228330728,0.002,0.45
0.0021,0.4957364671889673,0.0021,0.7010178117636486,0.0021,1.411927228488182,0.0021,0.45
0.0022,0.4957364671511886,0.0022,0.7010178116258389,0.0022,1.411927228380611,0.0022,0.45
0.0023,0.4957364671919409,0.0023,0.7010178117980774,0.0023,1.41192722851606,0.0023,0.45
0.0024,0.4957364671549914,0.0024,0.7010178116263646,0.0024,1.411927228382807,0.0024,0.45
0.0025,0.4957364671882101,0.0025,0.7010178117859573,0.0025,1.411927228505438,0.0025,0.45
0.002599999999999999,0.4957364671643872,0.002599999999999999,0.7010178116772111,0.002599999999999999,1.411927228424629,0.002599999999999999,0.45
