/in X,/in Y,/out X,/out Y
-60,0.75,-60,1.479194469814006
-58.6,0.75,-58.6,1.478461007154217
-57.2,0.75,-57.2,1.477757441029662
-55.8,0.75,-55.8,1.477057771040256
-54.40000000000001,0.75,-54.40000000000001,1.476361955420824
-53.00000000000001,0.75,-53.00000000000001,1.475669952309404
-51.60000000000001,0.75,-51.60000000000001,1.474981719820424
-50.20000000000001,0.75,-50.20000000000001,1.474297216053653
-48.80000000000001,0.75,-48.80000000000001,1.473616399115143
-47.40000000000001,0.75,-47.40000000000001,1.472939227136737
-46.00000000000001,0.75,-46.00000000000001,1.472265658294317
-44.60000000000002,0.75,-44.60000000000002,1.471595650824891
-43.20000000000002,0.75,-43.20000000000002,1.470929163042654
-41.80000000000002,0.75,-41.80000000000002,1.470266153354035
-40.40000000000002,0.75,-40.40000000000002,1.469606580271863
-39.00000000000002,0.75,-39.00000000000002,1.468950402428693
-37.60000000000002,0.75,-37.60000000000002,1.468297578589406
-36.20000000000002,0.75,-36.20000000000002,1.467648067663026
-34.80000000000003,0.75,-34.80000000000003,1.467001828713958
-33.40000000000003,0.75,-33.40000000000003,1.466358820972544
-32.00000000000003,0.75,-32.00000000000003,1.465719003845074
-30.60000000000003,0.75,-30.60000000000003,1.46508233692326
-29.20000000000003,0.75,-29.20000000000003,1.464448779993184
-27.80000000000003,0.75,-27.80000000000003,1.463818293043788
-26.40000000000003,0.75,-26.40000000000003,1.463190836274906
-25.00000000000004,0.75,-25.00000000000004,1.462566370104865
-23.60000000000004,0.75,-23.60000000000004,1.461938617845006
-22.20000000000004,0.75,-22.20000000000004,1.461312005712397
-20.80000000000004,0.75,-20.80000000000004,1.460688254944379
-19.40000000000004,0.75,-19.40000000000004,1.460067326766227
-18.00000000000004,0.75,-18.00000000000004,1.459449182613049
-16.60000000000004,0.75,-16.60000000000004,1.458833784173311
-15.20000000000004,0.75,-15.20000000000004,1.458221093394459
-13.80000000000004,0.75,-13.80000000000004,1.457611072488275
-12.40000000000004,0.75,-12.40000000000004,1.457003683935875
-11.00000000000004,0.75,-11.00000000000004,1.45639889049246
-9.600000000000042,0.75,-9.600000000000042,1.455796655191743
-8.200000000000042,0.75,-8.200000000000042,1.455196941350132
-6.800000000000042,0.75,-6.800000000000042,1.454599712570642
-5.400000000000041,0.75,-5.400000000000041,1.454004932746524
-4.000000000000041,0.75,-4.000000000000041,1.453412566064674
-2.600000000000041,0.75,-2.600000000000041,1.452822577008751
-1.200000000000041,0.75,-1.200000000000041,1.452234930362113
0.1999999999999589,0.75,0.1999999999999589,1.451649591210461
1.599999999999959,0.75,1.599999999999959,1.451066524944278
2.999999999999959,0.75,2.999999999999959,1.450485697261025
4.399999999999959,0.75,4.399999999999959,1.449907074167142
5.799999999999958,0.75,5.799999999999958,1.44933062197979
7.199999999999958,0.75,7.199999999999958,1.448756307328398
8.599999999999959,0.75,8.599999999999959,1.448184097155984
9.999999999999959,0.75,9.999999999999959,1.447613958720279
11.39999999999996,0.75,11.39999999999996,1.447045859594624
12.79999999999996,0.75,12.79999999999996,1.44647976766866
14.19999999999996,0.75,14.19999999999996,1.445915651148818
15.59999999999996,0.75,15.59999999999996,1.445353478558599
16.99999999999996,0.75,16.99999999999996,1.444793218738659
18.39999999999996,0.75,18.39999999999996,1.444234840846655
19.79999999999996,0.75,19.79999999999996,1.44367831435694
21.19999999999996,0.75,21.19999999999996,1.443123609060007
22.59999999999996,0.75,22.59999999999996,1.442570695061764
23.99999999999995,0.75,23.99999999999995,1.442019542782566
25.39999999999995,0.75,25.39999999999995,1.441466755738155
26.79999999999995,0.75,26.79999999999995,1.440907250620641
28.19999999999995,0.75,28.19999999999995,1.440349414735127
29.59999999999995,0.75,29.59999999999995,1.439793219572662
30.99999999999995,0.75,30.99999999999995,1.439238636941181
32.39999999999995,0.75,32.39999999999995,1.438685638962345
33.79999999999995,0.75,33.79999999999995,1.438134198069385
35.19999999999995,0.75,35.19999999999995,1.437584287004655
36.59999999999994,0.75,36.59999999999994,1.437035878816998
37.99999999999994,0.75,37.99999999999994,1.436488946858839
39.39999999999994,0.75,39.39999999999994,1.435943464783052
40.79999999999994,0.75,40.79999999999994,1.435399406539561
42.19999999999994,0.75,42.19999999999994,1.434856746371704
43.59999999999994,0.75,43.59999999999994,1.434315458812307
44.99999999999994,0.75,44.99999999999994,1.433775518679544
46.39999999999993,0.75,46.39999999999993,1.433236901072443
47.79999999999993,0.75,47.79999999999993,1.432699581366208
49.19999999999993,0.75,49.19999999999993,1.432163535207167
50.59999999999993,0.75,50.59999999999993,1.431628738507497
51.99999999999993,0.75,51.99999999999993,1.431095167439609
53.39999999999993,0.75,53.39999999999993,1.430562798430243
54.79999999999993,0.75,54.79999999999993,1.430031608154282
56.19999999999992,0.75,56.19999999999992,1.429501573528211
