"/net2 (Rf=1000,R1=500) X","/net2 (Rf=1000,R1=500) Y","/net2 (Rf=3000,R1=1500) X","/net2 (Rf=3000,R1=1500) Y","/net2 (Rf=5000,R1=2500) X","/net2 (Rf=5000,R1=2500) Y","/net2 (Rf=7500,R1=3750) X","/net2 (Rf=7500,R1=3750) Y","/net2 (Rf=10000,R1=5000) X","/net2 (Rf=10000,R1=5000) Y","/net2 (Rf=15000,R1=7500) X","/net2 (Rf=15000,R1=7500) Y","/net2 (Rf=17500,R1=8750) X","/net2 (Rf=17500,R1=8750) Y","/net2 (Rf=20000,R1=10000) X","/net2 (Rf=20000,R1=10000) Y","/net2 (Rf=25000,R1=12500) X","/net2 (Rf=25000,R1=12500) Y","/net2 (Rf=27500,R1=13750) X","/net2 (Rf=27500,R1=13750) Y","/net2 (Rf=30000,R1=15000) X","/net2 (Rf=30000,R1=15000) Y","/net2 (Rf=35000,R1=17500) X","/net2 (Rf=35000,R1=17500) Y","/net2 (Rf=37500,R1=18750) X","/net2 (Rf=37500,R1=18750) Y","/net2 (Rf=40000,R1=20000) X","/net2 (Rf=40000,R1=20000) Y"
0,0.05062092143482954,0,0.1017055667789514,0,0.1309218153604845,0,0.1553296595984062,0,0.1728649902266271,0,0.1975217686228137,0,0.2067697992289094,0,0.2146712426801491,0,0.2279267796425185,0,0.2334428153750474,0,0.2384599562456877,0,0.2472385793957561,0,0.251124672227267,0,0.254660878424433
0.01066666666666667,0.05062099455858268,0.01066666666666667,0.1017056600856134,0.01066666666666667,0.1309217515468769,0.01066666666666667,0.155317313440155,0.01066666666666667,0.1728701020790076,0.01066666666666667,0.1975289312840281,0.01066666666666667,0.2068003871312696,0.01066666666666667,0.2147633006459056,0.01066666666666667,0.2279030208636494,0.01066666666666667,0.2334449339478165,0.01066666666666667,0.2384651497579579,0.01066666666666667,0.2472642292141781,0.01066666666666667,0.2511624105385454,0.01066666666666667,0.2547863485088929
0.02133333333333334,0.05062101243467935,0.02133333333333334,0.1017057383128148,0.02133333333333334,0.130921891447984,0.02133333333333334,0.1553175271672412,0.02133333333333334,0.1728703860649911,0.02133333333333334,0.1975293473637735,0.02133333333333334,0.206800865956116,0.02133333333333334,0.2147638404545655,0.02133333333333334,0.2279036782776155,0.02133333333333334,0.2334456483381302,0.02133333333333334,0.2384659200939068,0.02133333333333334,0.2472651087858162,0.02133333333333334,0.2511633435816349,0.02133333333333334,0.2547873343612344
0.032,0.05062103722672529,0.032,0.1017058468049013,0.032,0.130922085474937,0.032,0.1553178235826718,0.032,0.1728707799221602,0.032,0.1975299244217039,0.032,0.206801530035482,0.032,0.2147645891128039,0.032,0.2279045900440108,0.032,0.2334466391259268,0.032,0.2384669884737634,0.032,0.2472663286671627,0.032,0.2511646376239863,0.032,0.2547887016461974
0.04266666666666667,0.05062107158424387,0.04266666666666667,0.1017059971565822,0.04266666666666667,0.1309223543638574,0.04266666666666667,0.1553182343657225,0.04266666666666667,0.172871325744303,0.04266666666666667,0.1975307241328714,0.04266666666666667,0.2068024503459844,0.04266666666666667,0.214765626637956,0.04266666666666667,0.2279058536155424,0.04266666666666667,0.2334480122111621,0.04266666666666667,0.238468469092125,0.04266666666666667,0.2472680192490037,0.04266666666666667,0.2511664309848329,0.04266666666666667,0.2547905965135116
0.05333333333333334,0.05062111915559009,0.05333333333333334,0.1017062053337313,0.05333333333333334,0.1309227266686289,0.05333333333333334,0.1553188031391107,0.05333333333333334,0.1728720814955872,0.05333333333333334,0.1975318314263949,0.05333333333333334,0.2068037246259823,0.05333333333333334,0.2147670632185177,0.05333333333333334,0.2279076031917737,0.05333333333333334,0.2334499134267345,0.05333333333333334,0.2384705192051823,0.05333333333333334,0.2472703600931101,0.05333333333333334,0.2511689141452085,0.05333333333333334,0.2547932202286897
0.06400000000000002,0.05062118495449443,0.06400000000000002,0.1017064932775784,0.06400000000000002,0.130923241629966,0.06400000000000002,0.1553195898528582,0.06400000000000002,0.172873126835962,0.06400000000000002,0.1975333630221292,0.06400000000000002,0.2068054872004438,0.06400000000000002,0.2147690502913484,0.06400000000000002,0.2279100232119669,0.06400000000000002,0.2334525432018727,0.06400000000000002,0.2384733549437348,0.06400000000000002,0.2472735979905395,0.06400000000000002,0.2511723489057451,0.06400000000000002,0.2547968494167646
0.07466666666666669,0.05062127585499277,0.07466666666666669,0.101706891070916,0.07466666666666669,0.1309239530499725,0.07466666666666669,0.1553206767042992,0.07466666666666669,0.1728745709884065,0.07466666666666669,0.1975354789603072,0.07466666666666669,0.2068079222509747,0.07466666666666669,0.2147717955036079,0.07466666666666669,0.2279133665810865,0.07466666666666669,0.2334561763701764,0.07466666666666669,0.2384772726749276,0.07466666666666669,0.2472780713581254,0.07466666666666669,0.2511770942691727,0.07466666666666669,0.2548018634129148
0.08533333333333336,0.05062140125602371,0.08533333333333336,0.1017074398470638,0.08533333333333336,0.130924934495502,0.08533333333333336,0.1553221760889117,0.08533333333333336,0.1728765633055522,0.08533333333333336,0.197538398088964,0.08533333333333336,0.2068112816419147,0.08533333333333336,0.2147755828127302,0.08533333333333336,0.2279179791571646,0.08533333333333336,0.2334611887835675,0.08533333333333336,0.2384826777051626,0.08533333333333336,0.2472842430222681,0.08533333333333336,0.2511836412227092,0.08533333333333336,0.2548087810193712
0.09600000000000003,0.05062157396801513,0.09600000000000003,0.101708195670878,0.09600000000000003,0.1309262862407306,0.09600000000000003,0.1553242412096745,0.09600000000000003,0.1728793073706127,0.09600000000000003,0.1975424187346227,0.09600000000000003,0.2068159087141622,0.09600000000000003,0.2147807993172395,0.09600000000000003,0.2279243324432391,0.09600000000000003,0.2334680928459549,0.09600000000000003,0.2384901226053227,0.09600000000000003,0.2472927439987292,0.09600000000000003,0.2511926591899523,0.09600000000000003,0.2548183095975191
