/net2 X,/net2 Y,/net06 X,/net06 Y
0,1.440829897153796,0,0.75
0.0001,1.440827458815804,0.0001,0.75
0.0002,1.440827458154156,0.0002,0.75
0.0003,1.440827458138902,0.0003,0.75
0.0004,1.440827458143528,0.0004,0.75
0.0005,1.440827458136959,0.0005,0.75
0.0006000000000000001,1.440827458144194,0.0006000000000000001,0.75
0.0007000000000000001,1.440827458137914,0.0007000000000000001,0.75
0.0008000000000000001,1.440827458143584,0.0008000000000000001,0.75
0.0009000000000000002,1.440827458138476,0.0009000000000000002,0.75
0.001,1.440827458145112,0.001,0.75
0.0011,1.440827458137345,0.0011,0.75
0.0012,1.440827458143965,0.0012,0.75
0.0013,1.440827458137032,0.0013,0.75
0.0014,1.440827458145479,0.0014,0.75
0.0015,1.44082745813608,0.0015,0.75
0.001600000000000001,1.440827458143748,0.001600000000000001,0.75
0.001700000000000001,1.440827458137557,0.001700000000000001,0.75
0.001800000000000001,1.440827458141706,0.001800000000000001,0.75
0.001900000000000001,1.440827458139161,0.001900000000000001,0.75
0.002,1.440827458143199,0.002,0.75
0.0021,1.440827458137992,0.0021,0.75
0.0022,1.440827458142328,0.0022,0.75
0.0023,1.44082745813842,0.0023,0.75
0.0024,1.440827458144513,0.0024,0.75
0.0025,1.440827458135248,0.0025,0.75
0.002599999999999999,1.440827458145534,0.002599999999999999,0.75
0.002699999999999999,1.440827458136481,0.002699999999999999,0.75
0.002799999999999999,1.440827458146315,0.002799999999999999,0.75
0.002899999999999999,1.440827458134879,0.002899999999999999,0.75
0.002999999999999999,1.440827458146328,0.002999999999999999,0.75
0.003099999999999999,1.440827458134159,0.003099999999999999,0.75
0.003199999999999998,1.440827458147182,0.003199999999999998,0.75
0.003299999999999998,1.440827458133908,0.003299999999999998,0.75
0.003399999999999998,1.440827458148332,0.003399999999999998,0.75
0.003499999999999998,1.440827458131983,0.003499999999999998,0.75
0.003599999999999998,1.440827458151099,0.003599999999999998,0.75
0.003699999999999998,1.440827458129993,0.003699999999999998,0.75
0.003799999999999997,1.440827458152282,0.003799999999999997,0.75
0.003899999999999997,1.440827458130248,0.003899999999999997,0.75
0.003999999999999997,1.440827458151311,0.003999999999999997,0.75
0.004099999999999998,1.44082745812912,0.004099999999999998,0.75
0.004199999999999998,1.440827458151394,0.004199999999999998,0.75
0.004299999999999998,1.44082745813136,0.004299999999999998,0.75
0.004399999999999999,1.440827458150341,0.004399999999999999,0.75
0.004499999999999999,1.4408274581317,0.004499999999999999,0.75
0.004599999999999999,1.440827458148464,0.004599999999999999,0.75
0.004699999999999999,1.440827458133453,0.004699999999999999,0.75
0.0048,1.440827458146636,0.0048,0.75
0.0049,1.440827458132829,0.0049,0.75
0.005,1.440827458148616,0.005,0.75
0.0051,1.440827458132938,0.0051,0.75
0.005200000000000001,1.440827458147732,0.005200000000000001,0.75
0.005300000000000001,1.440827458135038,0.005300000000000001,0.75
0.005400000000000001,1.440827458144929,0.005400000000000001,0.75
