/in X,/in YRe,/in YReImag,/out X,/out YRe,/out YReImag
1,0.1,0,1,0.1383603944826249,-4.174376606911679e-08
6666667.66,0.1,0,6666667.66,0.0262303986933561,-0.05685933069538211
13333334.32,0.1,0,13333334.32,0.005887761103275956,-0.03369281439829992
20000000.98,0.1,0,20000000.98,0.001173808607801865,-0.02333085469559151
26666667.64,0.1,0,26666667.64,-0.0006525036120188043,-0.01773966252427957
33333334.3,0.1,0,33333334.3,-0.001580478844325175,-0.01422983864808033
40000000.96,0.1,0,40000000.96,-0.002123294450170156,-0.01179144762406583
46666667.62,0.1,0,46666667.62,-0.002459638742562205,-0.009977488963247003
53333334.28,0.1,0,53333334.28,-0.002668160702538573,-0.008564436909706432
60000000.94,0.1,0,60000000.94,-0.002791236694222106,-0.007428741289359239
66666667.59999999,0.1,0,66666667.59999999,-0.002855334593264876,-0.006495754527441657
73333334.25999999,0.1,0,73333334.25999999,-0.002878396280224491,-0.005716747535590275
80000000.91999999,0.1,0,80000000.91999999,-0.002872997207376275,-0.005057879474190952
86666667.57999998,0.1,0,86666667.57999998,-0.002848021630306115,-0.004494556492787118
93333334.23999998,0.1,0,93333334.23999998,-0.002809730418031571,-0.004008331591756066
100000000.9,0.1,0,100000000.9,-0.002762511456925406,-0.003585064199823045
106666667.56,0.1,0,106666667.56,-0.002709423113666427,-0.003213745224536422
113333334.22,0.1,0,113333334.22,-0.00265258744709481,-0.002885700997883765
120000000.88,0.1,0,120000000.88,-0.00259347171759683,-0.002594029975555794
126666667.54,0.1,0,126666667.54,-0.002533087651452874,-0.002333192145011282
133333334.2,0.1,0,133333334.2,-0.002472131184394037,-0.002098703761349054
140000000.86,0.1,0,140000000.86,-0.002411079807937476,-0.00188690729233627
146666667.52,0.1,0,146666667.52,-0.002350260083279954,-0.001694796313289699
153333334.1799999,0.1,0,153333334.1799999,-0.002289894345163702,-0.001519881165791593
160000000.8399999,0.1,0,160000000.8399999,-0.002230132972169098,-0.001360085177687248
166666667.4999999,0.1,0,166666667.4999999,-0.002171076680662258,-0.001213663977666052
173333334.1599999,0.1,0,173333334.1599999,-0.002112791935661357,-0.001079142376054603
180000000.8199999,0.1,0,180000000.8199999,-0.002055321615664378,-0.000955264684545664
186666667.4799999,0.1,0,186666667.4799999,-0.00199869240398007,-0.0008409553738047581
193333334.1399999,0.1,0,193333334.1399999,-0.001942919920255088,-0.0007352877261497607
200000000.7999999,0.1,0,200000000.7999999,-0.001888012289488043,-0.0006374587045973352
206666667.4599999,0.1,0,206666667.4599999,-0.001833972628687966,-0.0005467686813084749
213333334.1199999,0.1,0,213333334.1199999,-0.001780800781793325,-0.0004626049853916153
220000000.7799999,0.1,0,220000000.7799999,-0.001728494530831628,-0.0003844284691841086
226666667.4399999,0.1,0,226666667.4399999,-0.001677050440815527,-0.0003117624733227609
233333334.0999999,0.1,0,233333334.0999999,-0.001626464447152097,-0.0002441837089269126
240000000.7599999,0.1,0,240000000.7599999,-0.00157673226106889,-0.0001813146805965592
246666667.4199999,0.1,0,246666667.4199999,-0.001527849645424043,-0.000122817354887759
253333334.0799999,0.1,0,253333334.0799999,-0.001479812597438074,-6.838784133484722e-05
260000000.7399999,0.1,0,260000000.7399999,-0.001432617463978364,-1.775190132652566e-05
266666667.3999999,0.1,0,266666667.3999999,-0.001386261007421155,2.933886222805647e-05
273333334.0599999,0.1,0,273333334.0599999,-0.001340740434945511,7.311025223217904e-05
280000000.7199999,0.1,0,280000000.7199999,-0.001296053400528656,0.0001137682565300227
286666667.3799999,0.1,0,286666667.3799999,-0.001252197986393953,0.0001515014354867526
293333334.04,0.1,0,293333334.04,-0.001209172668961075,0.0001864829803862077
300000000.7,0.1,0,300000000.7,-0.001166976273138752,0.0002188724936074676
306666667.36,0.1,0,306666667.36,-0.001125607917957685,0.0002488175324917247
313333334.02,0.1,0,313333334.02,-0.001085066955944713,0.0002764549515158449
320000000.6800001,0.1,0,320000000.6800001,-0.001045352908195293,0.0003019120715400066
326666667.3400001,0.1,0,326666667.3400001,-0.001006465396793278,0.0003253077001730952
333333334.0000001,0.1,0,333333334.0000001,-0.0009684040759803064,0.0003467530234627686
340000000.6600001,0.1,0,340000000.6600001,-0.0009311685632696998,0.0003663523859486564
346666667.3200002,0.1,0,346666667.3200002,-0.0008947583715582149,0.0003842039735936964
353333333.9800002,0.1,0,353333333.9800002,-0.0008591728431461913,0.0004004004119715003
360000000.6400002,0.1,0,360000000.6400002,-0.0008244110864488829,0.0004150292903367095
366666667.3000003,0.1,0,366666667.3000003,-0.0007904719160838898,0.0004281736207493716
