signal,mean_vout_Y,variance_vout_Y,slope_vout
1,1.8851708715132391,1.1372417227775303e-11,16693.294452149337
2,1.885172806772733,3.097321098841655e-15,-8.6035882783188
3,1.8949830735833186,0.0002887230582753912,10716956.561083507
4,1.9541238445531899,9.548341547021685e-11,19096.31588905647
5,1.9541395800767785,2.0823167542504387e-11,609.2154524168353
6,1.9998086370135042,0.0021265468112464025,139441980.7921058
7,2.0831240463836362,0.0001351014390128927,-70799993.71482007
8,2.0412208352562473,0.00030621850167969055,-70201239.51189338
9,2.023715442499738,1.6651844373033906e-10,46675.24693514973
10,2.0237220524798407,6.390938862993814e-12,-284.3145426823152
11,2.081372992444342,0.0004924428288727496,48775735.69614756
12,2.0941843367034636,6.808270692416264e-11,-2934.8563642844642
13,2.118120044977943,0.0017184217698913537,19875616.107958995
14,2.3279271519307287,0.0012851057517226953,351823421.6290816
15,2.415209847538097,7.65212894127831e-05,-402125722.42284584
16,2.3650430307455306,0.0005370561117959765,-292486220.35996085
17,2.239843361771934,0.004992023449806354,-228570089.0723718
18,2.1660036318305806,2.283180670582306e-09,-101544.95208988209
19,2.1660121231874863,3.0166916884442256e-09,11205.93111189581
20,2.2014728612677668,0.0013872198756430352,74312840.38806623
21,2.2402205365247974,1.9006432532849753e-09,21450.40348365041
22,2.2401929321833083,1.0306464035442826e-09,7237.321052400759
23,2.3477892019657456,0.005210178341924696,191951911.5676887
24,2.4053051879878784,0.00019322374715298926,-124313255.45736583
25,2.3449695598822213,0.0006606997040106625,-91286536.50071943
26,2.319775489897241,6.936239320134745e-10,-23.976829823774903
27,2.3197875045033753,8.284751693567288e-10,3883.848821516895
28,2.3806967734428857,0.00166914458073333,108699337.59163202
29,2.4231208692409445,4.248994584503199e-12,14175.258314820188
30,2.4231203795859595,5.136255754030478e-12,-474.0042667713781
31,2.4626599947104304,0.004689980900636169,43550070.636743635
32,3.1031245819835225,0.05387460528963194,2657034115.535342
33,4.199870265922052,0.1407790483229706,2631880590.6569014
34,4.89955526115915,0.017515050089080837,1915616273.5795422
35,4.758377463492106,0.013970671700444396,-2216244299.0490265
36,4.074102336971083,0.16100713529562713,-2308833090.0754204
37,2.889726988289142,0.09800455853002976,-2266709323.080897
38,2.7081170389861247,1.0998287361230001e-08,153885.4767625405
39,2.7081776461984606,7.611387055560508e-09,94856.08255225967
40,2.7081280253840645,7.0572798860984885e-09,-15452.03863577338
41,2.8233046630104712,0.012747785075568216,331610240.12436146
42,3.040174753845106,1.9142929782717827e-08,487967.4761077685
43,3.040254250416723,2.8422335997549414e-13,-177.14379702720566
44,3.0964162406739426,0.009462460522983322,62297254.33173295
45,3.607553863562494,0.017591924315669194,475384549.9998198
46,3.535784055672592,0.006467782879888098,-331471722.2388119
47,3.3722915531773885,1.713445745199398e-08,-536139.9750536793
48,3.3722164796507847,5.43276695314062e-13,254.2963214139878
49,3.409174645573266,0.00409776311251845,54169719.66727773
50,3.6667987514260454,0.004050759692420686,207190141.67635652
51,3.7036676115817753,4.555687709354835e-10,11787.920460603054
52,3.703655161162645,4.923953059488785e-10,-64.55088875393746
53,4.272771086847033,0.1427011180871905,1307118761.5519314
54,4.934522963390932,0.005401748796809292,-924189709.1443503
55,4.571481845975072,0.04501671523719603,-964886285.0177151
56,4.03464189392441,1.726345347387495e-07,-2825613.9288360677
57,4.034391750015515,8.028118949686948e-11,2907.6848220927814
58,4.034386601283546,7.775473781038116e-11,15.929181850046723
59,4.254406693513104,0.011908768537679387,328838013.4585007
60,4.3636786764348745,1.0878234237567428e-10,7479.156887415404
61,4.363673207078503,1.3942488579100683e-10,-1047.0871214765675
62,4.551236067554121,0.04067011276931548,641073534.224093
63,4.955646918057897,0.0021699374646109142,-308626921.7281377
64,4.7656822170926025,0.007310287297225286,-315536442.05230016
65,4.68591848333724,6.00253231623384e-11,-13705.303437654151
66,4.68592190512945,8.723733205251218e-11,974.7490577821196
67,4.777807029309777,0.009805459857720442,314780236.95263994
68,4.9996573690742165,2.7373344952921264e-08,1215606.3945599033
69,4.999752394354832,4.006168019428668e-12,-768.0368962580918
70,4.999753533867501,3.621060566386903e-12,-8.887901949761229
