"/out0 (R0=500,Rf0=1000) X","/out0 (R0=500,Rf0=1000) Y","/out0 (R0=1500,Rf0=3000) X","/out0 (R0=1500,Rf0=3000) Y","/out0 (R0=2500,Rf0=5000) X","/out0 (R0=2500,Rf0=5000) Y","/out0 (R0=3750,Rf0=7500) X","/out0 (R0=3750,Rf0=7500) Y","/out0 (R0=5000,Rf0=10000) X","/out0 (R0=5000,Rf0=10000) Y","/out0 (R0=7500,Rf0=15000) X","/out0 (R0=7500,Rf0=15000) Y","/out0 (R0=8750,Rf0=17500) X","/out0 (R0=8750,Rf0=17500) Y","/out0 (R0=10000,Rf0=20000) X","/out0 (R0=10000,Rf0=20000) Y","/out0 (R0=12500,Rf0=25000) X","/out0 (R0=12500,Rf0=25000) Y","/out0 (R0=13750,Rf0=27500) X","/out0 (R0=13750,Rf0=27500) Y","/out0 (R0=15000,Rf0=30000) X","/out0 (R0=15000,Rf0=30000) Y","/out0 (R0=17500,Rf0=35000) X","/out0 (R0=17500,Rf0=35000) Y","/out0 (R0=18750,Rf0=37500) X","/out0 (R0=18750,Rf0=37500) Y","/out0 (R0=20000,Rf0=40000) X","/out0 (R0=20000,Rf0=40000) Y"
0,0.03605501224702148,0,0.07751073633848175,0,0.1019111045381078,0,0.1217931312626661,0,0.1354611392979079,0,0.1532987159529408,0,0.1594949751418615,0,0.1645637442838416,0,0.1723808443389001,0,0.1754640771481556,0,0.1781441893560508,0,0.1825784492194022,0,0.1844346640095192,0,0.186100362066227
0.01066666666666667,0.03605501584995242,0.01066666666666667,0.07751073714917631,0.01066666666666667,0.1019110715467576,0.01066666666666667,0.1217931333570933,0.01066666666666667,0.1354611422536397,0.01066666666666667,0.1532987198000861,0.01066666666666667,0.1594949793384333,0.01066666666666667,0.1645637487815135,0.01066666666666667,0.1723808493316633,0.01066666666666667,0.1754640823471209,0.01066666666666667,0.1781441947395711,0.01066666666666667,0.1825784549195555,0.01066666666666667,0.184434669221536,0.01066666666666667,0.1861003674679537
0.02133333333333334,0.0360550161011216,0.02133333333333334,0.07751073827432754,0.02133333333333334,0.1019110734853785,0.02133333333333334,0.1217931361405999,0.02133333333333334,0.1354611457247591,0.02133333333333334,0.1532987243188007,0.02133333333333334,0.1594949842658425,0.02133333333333334,0.1645637540622383,0.02133333333333334,0.1723808551932851,0.02133333333333334,0.1754640884506587,0.02133333333333334,0.1781442010596135,0.02133333333333334,0.1825784616110707,0.02133333333333334,0.1844346760736571,0.02133333333333334,0.1861003744668536
0.032,0.03605501644946554,0.032,0.07751073983478837,0.032,0.1019110761740327,0.032,0.1217931400010175,0.032,0.135461150538821,0.032,0.1532987305857604,0.032,0.1594949910996183,0.032,0.1645637613860249,0.032,0.1723808633227117,0.032,0.1754640969155956,0.032,0.1781442098248182,0.032,0.1825784708914666,0.032,0.184434685576799,0.032,0.1861003841735625
0.04266666666666667,0.03605501693221393,0.04266666666666667,0.07751074199733518,0.04266666666666667,0.1019110799000739,0.04266666666666667,0.121793145350935,0.04266666666666667,0.1354611572103332,0.04266666666666667,0.1532987392707552,0.04266666666666667,0.1594950005701284,0.04266666666666667,0.1645637715356115,0.04266666666666667,0.1723808745887862,0.04266666666666667,0.1754641086466355,0.04266666666666667,0.1781442219719816,0.04266666666666667,0.1825784837525999,0.04266666666666667,0.1844346987466195,0.04266666666666667,0.1861003976254929
0.05333333333333334,0.03605501760063318,0.05333333333333334,0.07751074499162405,0.05333333333333334,0.1019110850591945,0.05333333333333334,0.1217931527584934,0.05333333333333334,0.1354611664477913,0.05333333333333334,0.153298751296107,0.05333333333333334,0.1594950136831142,0.05333333333333334,0.1645637855888527,0.05333333333333334,0.1723808901879328,0.05333333333333334,0.1754641248895775,0.05333333333333334,0.1781442387910916,0.05333333333333334,0.1825785015602846,0.05333333333333334,0.184434716981715,0.05333333333333334,0.1861004162512026
0.06400000000000002,0.03605501852517808,0.06400000000000002,0.07751074913326969,0.06400000000000002,0.1019110921951988,0.06400000000000002,0.121793163004497,0.06400000000000002,0.1354611792248787,0.06400000000000002,0.1532987679293598,0.06400000000000002,0.159495031820763,0.06400000000000002,0.1645638050270507,0.06400000000000002,0.1723809117643955,0.06400000000000002,0.1754641473565273,0.06400000000000002,0.1781442620549903,0.06400000000000002,0.1825785261915646,0.06400000000000002,0.1844347422041826,0.06400000000000002,0.1861004420139615
0.07466666666666669,0.0360550198024515,0.07466666666666669,0.07751075485502139,0.07466666666666669,0.1019111020537068,0.07466666666666669,0.1217931771595219,0.07466666666666669,0.1354611968766396,0.07466666666666669,0.153298790908479,0.07466666666666669,0.1594950568782329,0.07466666666666669,0.164563831881248,0.07466666666666669,0.1723809415726459,0.07466666666666669,0.1754641783950006,0.07466666666666669,0.1781442941944593,0.07466666666666669,0.1825785602200933,0.07466666666666669,0.184434777049444,0.07466666666666669,0.1861004776056436
0.08533333333333336,0.03605502156454986,0.08533333333333336,0.0775107627486287,0.08533333333333336,0.1019111156542982,0.08533333333333336,0.1217931966875,0.08533333333333336,0.1354612212286409,0.08533333333333336,0.1532988226099946,0.08533333333333336,0.159495091446995,0.08533333333333336,0.1645638689287413,0.08533333333333336,0.1723809826954886,0.08533333333333336,0.175464221215033,0.08533333333333336,0.1781443385334044,0.08533333333333336,0.1825786071651449,0.08533333333333336,0.1844348251212481,0.08533333333333336,0.1861005267071943
0.09600000000000003,0.03605502399153619,0.09600000000000003,0.07751077362071915,0.09600000000000003,0.1019111343867802,0.09600000000000003,0.1217932235839434,0.09600000000000003,0.1354612547693514,0.09600000000000003,0.1532988662734016,0.09600000000000003,0.1594951390595441,0.09600000000000003,0.1645639199553161,0.09600000000000003,0.1723810393351605,0.09600000000000003,0.1754642801922934,0.09600000000000003,0.1781443996027063,0.09600000000000003,0.1825786718239136,0.09600000000000003,0.1844348913319265,0.09600000000000003,0.1861005943361738
