/out0 X,/out0 YRe,/out0 YReImag,/Vin X,/Vin YRe,/Vin YReImag
0,0.0003548306731623804,0,0,0.1,0
6666666.666666667,0.002428190591088495,0.0002061059659720895,6666666.666666667,0.1,0
13333333.33333333,0.002312957362624293,-0.0007285896493560168,13333333.33333333,0.1,0
20000000,0.00188991135003136,-0.001210628358613635,20000000,0.1,0
26666666.66666667,0.001441657498544764,-0.001424162113041419,26666666.66666667,0.1,0
33333333.33333334,0.001050714286293025,-0.001473855649714073,33333333.33333334,0.1,0
40000000,0.0007378137362382314,-0.001432430106496547,40000000,0.1,0
46666666.66666666,0.000497881902707688,-0.00134639283824539,46666666.66666666,0.1,0
53333333.33333333,0.0003177434929100569,-0.001242798882064892,53333333.33333333,0.1,0
59999999.99999999,0.000183813000989028,-0.00113623521239543,59999999.99999999,0.1,0
66666666.66666666,8.465651462860575e-05,-0.001033993833105871,66666666.66666666,0.1,0
73333333.33333333,1.139162679994401e-05,-0.0009393291950884304,73333333.33333333,0.1,0
80000000,-4.264431250709642e-05,-0.00085334927734671,80000000,0.1,0
86666666.66666667,-8.237751345856984e-05,-0.0007760679547094849,86666666.66666667,0.1,0
93333333.33333334,-0.0001114355428362191,-0.0007069765928051177,93333333.33333334,0.1,0
100000000,-0.0001324929659314121,-0.0006453487669286174,100000000,0.1,0
106666666.6666667,-0.0001475293837911165,-0.0005903990195134031,106666666.6666667,0.1,0
113333333.3333334,-0.0001580175079349669,-0.0005413623918739704,113333333.3333334,0.1,0
120000000,-0.0001650590295276085,-0.000497531251611677,120000000,0.1,0
126666666.6666667,-0.0001694826586409206,-0.0004582693763363428,126666666.6666667,0.1,0
133333333.3333334,-0.0001719150690134724,-0.0004230142128647707,133333333.3333334,0.1,0
140000000,-0.000172832490268432,-0.0003912732814649642,140000000,0.1,0
146666666.6666667,-0.0001725984498042132,-0.0003626179706732789,146666666.6666667,0.1,0
153333333.3333333,-0.0001714915575678352,-0.0003366764612206645,153333333.3333333,0.1,0
160000000,-0.0001697260912024953,-0.0003131266814824401,160000000,0.1,0
166666666.6666667,-0.0001674673423386801,-0.0002916897337433872,166666666.6666667,0.1,0
173333333.3333333,-0.0001648431259171934,-0.0002721239763342727,173333333.3333333,0.1,0
180000000,-0.0001619524610885431,-0.000254219810004488,180000000,0.1,0
186666666.6666666,-0.0001588721540055473,-0.0002377951464084313,186666666.6666666,0.1,0
193333333.3333333,-0.000155661814812953,-0.0002226915031685798,193333333.3333333,0.1,0
199999999.9999999,-0.0001523676993298687,-0.0002087706570622445,199999999.9999999,0.1,0
206666666.6666666,-0.0001490256636759715,-0.0001959117849633849,206666666.6666666,0.1,0
213333333.3333333,-0.000145663445908381,-0.0001840090258557284,213333333.3333333,0.1,0
219999999.9999999,-0.0001423024345603396,-0.0001729694034741478,219999999.9999999,0.1,0
226666666.6666666,-0.0001389590441673096,-0.0001627110562288041,226666666.6666666,0.1,0
233333333.3333332,-0.0001356457884494545,-0.000153161728129302,233333333.3333332,0.1,0
239999999.9999999,-0.0001323721199447569,-0.0001442574809934218,239999999.9999999,0.1,0
