/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag
186666666.6666666,-0.0111937911518926,-0.01023225254387728,186666666.6666666,9.20489666557027e-06,2.119452701734036e-05,186666666.6666666,0.025,0
193333333.3333333,-0.01114860760041153,-0.009392851761611823,193333333.3333333,8.182265523407776e-06,1.968772075249954e-05,193333333.3333333,0.025,0
199999999.9999999,-0.01107765216681567,-0.00859958414007188,199999999.9999999,7.423085552950185e-06,1.839762340719389e-05,199999999.9999999,0.025,0
206666666.6666666,-0.01098369294381774,-0.007849777749357988,206666666.6666666,6.87297688021935e-06,1.726829842559448e-05,206666666.6666666,0.025,0
213333333.3333333,-0.01086922976260359,-0.007141020649135767,213333333.3333333,6.487084170598206e-06,1.625862127799428e-05,213333333.3333333,0.025,0
219999999.9999999,-0.01073653061980713,-0.006471119059866224,219999999.9999999,6.228551268253602e-06,1.533849228074467e-05,219999999.9999999,0.025,0
226666666.6666666,-0.01058766077551285,-0.005838063331754842,226666666.6666666,6.067218438144718e-06,1.448602460484496e-05,226666666.6666666,0.025,0
233333333.3333332,-0.01042450629752715,-0.005240000268561768,233333333.3333332,5.978517616462791e-06,1.368544641377507e-05,233333333.3333332,0.025,0
239999999.9999999,-0.0102487933759529,-0.004675210614037374,239999999.9999999,5.942539890808992e-06,1.292552981985656e-05,239999999.9999999,0.025,0
246666666.6666665,-0.01006210439665258,-0.004142090721674158,246666666.6666665,5.943250753650495e-06,1.219841103950301e-05,246666666.6666665,0.025,0
253333333.3333332,-0.009865891511872777,-0.003639137606437628,253333333.3333332,5.967831070841081e-06,1.149870272054927e-05,253333333.3333332,0.025,0
259999999.9999999,-0.009661488259951325,-0.003164936725680125,259999999.9999999,6.006124425472819e-06,1.082282557190547e-05,259999999.9999999,0.025,0
